guide	cellcount	effect_cluster_log10p	effect_cluster_p_0_05	effect_target_log10p	effect_target_p_0_05	effect_global_notes			
ARNT_gRNA1	91	0.0	FALSE	-1.4	TRUE	No detectable effect			
ARNT_gRNA2	121	0.0	FALSE	-4.2	TRUE	No detectable effect			
ARNT_gRNA3	105	0.0	FALSE	-1.4	TRUE	No detectable effect			
ATF3_gRNA1	87	0.0	FALSE	-5.5	TRUE	Possible			
ATF3_gRNA2	72	0.0	FALSE	-5.3	TRUE	No detectable effect			
ATF3_gRNA3	129	-1.9	TRUE	-0.1	FALSE	No detectable effect			
ATF7_gRNA1	77	0.0	FALSE	-0.4	FALSE	No detectable effect			
ATF7_gRNA2	61	0.0	FALSE	-2.9	TRUE	No detectable effect			
ATF7_gRNA3	104	0.0	FALSE	-4.2	TRUE	Possible			
CDC5L_gRNA1	2								
CDC5L_gRNA2	2								
CREB3_gRNA1	183	0.0	FALSE	-29.0	TRUE	Visible trend			
CREB3_gRNA3	49	0.0	FALSE	-7.2	TRUE	No detectable effect			
CTCF_gRNA1	4	-0.5	FALSE	Too few cells to test	Too few cells to test	Strong correlation			
CTCF_gRNA2	15	-1.6	TRUE	-0.2	FALSE	LEFTY affected			
CTCF_gRNA3	67	0.0	FALSE	-2.5	TRUE	No detectable effect			
E2F6_gRNA1	50	0.0	FALSE	-4.3	TRUE	No detectable effect			
E2F6_gRNA2	54	0.0	FALSE	-1.5	TRUE	No detectable effect			
E2F6_gRNA3	65	0.0	FALSE	-3.8	TRUE	No detectable effect			
ELF3_gRNA1	115	-3.3	TRUE	-0.2	FALSE	Strong correlation			
ELF3_gRNA2	18	0.0	FALSE	-0.2	FALSE	Uncertain			
ELF3_gRNA3	80	0.0	FALSE	-0.3	FALSE	No detectable effect			
EOMES_gRNA1	12	-1.3	TRUE	-1.2	FALSE	Strong correlation			
EOMES_gRNA2	2					Strong correlation			
EOMES_gRNA3	2								
ESRRA_gRNA1	95	0.0	FALSE	-2.1	TRUE	No detectable effect			
ESRRA_gRNA2	84	0.0	FALSE	-2.9	TRUE	No detectable effect			
ESRRA_gRNA3	103	0.0	FALSE	-2.6	TRUE	Uncertain			
ETV5_gRNA1	87	0.0	FALSE	-1.8	TRUE	No detectable effect			
ETV5_gRNA2	72	0.0	FALSE	-1.5	TRUE	No detectable effect			
FOXA2_gRNA1	112	0.0	FALSE	-8.1	TRUE	Strong effect			
FOXA2_gRNA2	115	0.0	FALSE	-7.2	TRUE	Strong effect			
FOXA2_gRNA3	116	0.0	FALSE	-2.0	TRUE	Strong effect			
FOXA3_gRNA1	96	0.0	FALSE	-0.4	FALSE	No detectable effect			
FOXA3_gRNA2	97	0.0	FALSE	-1.5	TRUE	No detectable effect			
FOXA3_gRNA3	103	0.0	FALSE	-5.9	TRUE	No detectable effect			
FOXH1_gRNA1	417	-139.4	TRUE	-45.4	TRUE	Strong effect			
FOXH1_gRNA2	1095	-72.6	TRUE	-15.2	TRUE	Strong effect			
FOXH1_gRNA3	1000	-93.9	TRUE	-22.2	TRUE	Strong effect			
