geneName	hDE_rank
LEFTY2	1
CER1	2
LEFTY1	3
CTBP2P4	4
CYP26A1	5
NODAL	6
CTSV	7
FGF17	8
SSX4B	9
GSC	10
DSCAM	11
MAGEB17	12
GRPR	13
CALCR	14
EOMES	15
ERBB4	16
CXCR4	17
TDGF1	18
CST1	19
CCKBR	20
LRRC37A12P	21
STC1	22
SEMA3E	23
LHX1	24
CPSF1P1	25
NPPB	26
FOXI1	27
OR5E1P	28
DIO3	29
HSPD1P11	30
CCDC141	31
FAM159B	32
SLC5A9	33
CCDC129	34
NR0B1	35
UMODL1	36
S100Z	37
DACT2	38
FZD5	39
SLC5A4	40
OVCH2	41
PTPRT	42
FAM184A	43
TDGF1P3	44
ZNF571	45
ACSM4	46
ALG1L7P	47
CNGA4	48
SOX17	49
NCR1	50
SERPINB9	51
C9orf47	52
KCNK12	53
OR52A1	54
C21orf128	55
RPRM	56
RAB17	57
ARSDP1	58
FGF8	59
MIXL1	60
HAS2	61
GPR111	62
SLC35F3	63
PCDH10	64
VWA3B	65
SLC2A3	66
ARHGAP40	67
ERMN	68
ZIC3	69
KCNF1	70
PRKCQ	71
KRT17P2	72
RPS3AP34	73
ENPP7P12	74
FOXQ1	75
GLT1D1	76
WRBP1	77
MYO3A	78
TAC1	79
DCLK3	80
CLVS2	81
PDZK1	82
IGFBPL1	83
FST	84
AJAP1	85
MCF2L2	86
GPR78	87
KCNG1	88
GRID2	89
HRASLS5	90
SLC7A3	91
ENPP7P1	92
FOXH1	93
DDIT4L	94
GPR37	95
FAM220CP	96
RXRG	97
RFPL2	98
CNTNAP5	99
ONECUT2	100
CNGA3	101
LEPREL1	102
ENPP7P8	103
OTX2	104
SLC7A5	105
BEST3	106
KLKB1	107
RHOBTB3	108
DKK4	109
POU2AF1	110
ACKR3	111
STEAP1B	112
EPSTI1	113
SLC1A1	114
KLF8	115
GPC4	116
OR7E12P	117
COLEC12	118
ANKRD36BP2	119
MTNR1B	120
CLMP	121
BANF1P2	122
DNMT3L	123
PODXL	124
FAM167A	125
ANKRD18CP	126
EDA	127
FAM71F1	128
CD80	129
CD177	130
FZD8	131
FAM20A	132
MTUS2	133
MATN3	134
JAKMIP3	135
TATDN2P3	136
JAKMIP1	137
ADAM19	138
GABRB3	139
BMP2	140
CHODL	141
TLR5	142
LGALS12	143
SLC2A14	144
ZNF90	145
S100A16	146
COL23A1	147
FAM166A	148
NTN1	149
CALB1	150
SLITRK2	151
HLA-L	152
MYL7	153
ARL4D	154
ARHGDIG	155
KCNH8	156
VWA7	157
SORCS1	158
PPP1R16B	159
MYOCD	160
CRLF2	161
ABCC4	162
CCDC177	163
GPR39	164
WFDC2	165
COL4A3	166
DUSP10	167
EGFLAM	168
CHAC1	169
TSPEAR	170
PHACTR2	171
VANGL1	172
GJA1	173
CNTNAP2	174
RTN4RL1	175
SEMA5A	176
TAGLN	177
GCNT1	178
PTGR1	179
SLC38A5	180
SOX10	181
PRLR	182
ELOVL2	183
RNF152	184
ADCY10	185
KIF1A	186
HTR1E	187
PLXNA4	188
LZTS1	189
SLC7A5P2	190
KIAA1045	191
MAGEA11	192
HADHAP1	193
GATA4	194
INSM2	195
IFITM1	196
FLVCR2	197
SSTR2	198
S1PR3	199
UNC13C	200
IL18R1	201
ERICH2	202
DUSP4	203
GATA6	204
KIT	205
ST8SIA4	206
FAM135B	207
LRRC3	208
FZD7	209
ZNF730	210
VRTN	211
FAM78B	212
FMN2	213
PITX2	214
KIAA2022	215
HNRNPA1P29	216
SALL4	217
ROR2	218
ATP7A	219
PLXNA2	220
LRRC3DN	221
KIAA1244	222
IL17RA	223
HLX	224
RFESD	225
TMEM200B	226
WBSCR17	227
IL1RAPL1	228
RAB3B	229
TUBB2A	230
PCDHB9	231
CRB3	232
GRP	233
CSMD3	234
TNC	235
C11orf16	236
DMKN	237
DIRAS2	238
RXFP4	239
SHISA2	240
PKHD1L1	241
C8orf49	242
GNGT1	243
TMEM150C	244
MERTK	245
ENPP7P4	246
C7orf69	247
TAL2	248
COL4A4	249
NFASC	250
PRSS3P2	251
CLIC1	252
PIP5K1B	253
DLC1	254
ITGB5	255
WARS	256
C6orf223	257
DCLRE1CP1	258
BIK	259
RCAN3	260
HYOU1	261
NLRP5	262
SLC7A14	263
LIFR	264
ST8SIA3	265
ADM	266
SLC22A3	267
BEX1	268
SAMD3	269
PRDM1	270
OR51B5	271
PDE10A	272
ITLN2	273
PRKCDBP	274
SH3BGR	275
FAM86GP	276
EDNRA	277
NFKBIA	278
AADAT	279
CNIH3	280
ILF2P1	281
VENTX	282
SLC6A20	283
FAM155B	284
ADM2	285
BLOC1S5-TXNDC5	286
SEMA6D	287
ZNF732	288
TLN2	289
MEGF11	290
DTWD2	291
ANO4	292
ARSI	293
MYCT1	294
TPM3P6	295
LRP1B	296
ZNF702P	297
CCDC108	298
HHEX	299
KRT8P36	300
FOXA3	301
PMEPA1	302
FAM129A	303
RIMS1	304
PGLYRP4	305
UPK1B	306
C22orf42	307
LGR5	308
STC2	309
GRAMD1B	310
CADPS	311
RET	312
S100A14	313
TUBB2BP1	314
ADCY2	315
OCLN	316
KIAA1239	317
TRAF5	318
APOE	319
AXIN2	320
HIST2H4A	321
TESC	322
COL9A3	323
IER3	324
TRDN	325
CRYGEP	326
KRT8P45	327
KIAA1462	328
GRIK3	329
ATP12A	330
MARCH3	331
DUSP5	332
GRIN2B	333
PTPRQ	334
GPR128	335
GRIK4	336
CDC42EP3	337
NLRP7	338
GATM	339
LRRC2	340
MMP15	341
FAM25B	342
EPPK1	343
DDX3YP1	344
FAM89A	345
LILRA6	346
PPT2	347
PPM1K	348
HSPD1P6	349
NOX5	350
ARHGEF16	351
FAM154B	352
SLC24A3	353
GAL	354
RGS6	355
ANXA3	356
MAGEB3	357
UCHL1	358
ABHD12B	359
EGF	360
TBL1Y	361
WNT3	362
THSD7A	363
RPL23AP32	364
SRY	365
WDR38	366
LRRN4	367
VIPR2	368
SSUH2	369
ITGA9	370
GPR123	371
FAM174B	372
KIAA1161	373
HLA-DPB1	374
HECW1	375
RAB26	376
AGAP7	377
RPSAP6	378
CTAGE4	379
MICB	380
EFNA5	381
C2orf61	382
RIMS2	383
PERP	384
BCL2L14	385
TMEM27	386
RAD54L2	387
ZIC2	388
GPR64	389
FAM84B	390
LIN28A	391
RAB37	392
ATP6AP1	393
ZNF101	394
PNPLA3	395
SCGB3A2	396
FAM189A1	397
GUCY1B2	398
CD300E	399
FOXA2	400
GABRA5	401
KRT26	402
GREB1	403
BSPRY	404
EPHX1	405
EIF2S2P4	406
MSMB	407
EPHB3	408
VNN3	409
BEAN1	410
HSPA1A	411
GLIPR2	412
PCK2	413
PDYN	414
UTF1	415
TRPM2	416
KRT17P1	417
SLC9A5	418
TRIM67	419
ALDH1A3	420
HCG4P5	421
DCAF12L2	422
ANKRD34A	423
APOBEC3G	424
C9orf117	425
GPR112	426
ANGPT2	427
NBL1	428
LARP7	429
IQCA1	430
NTN4	431
EPCAM	432
KALP	433
SLC5A10	434
ZCCHC18	435
GRM8	436
COL10A1	437
TNFRSF21	438
C9orf84	439
ATP8A2	440
ZBBX	441
PACSIN1	442
TRABD2B	443
GREM2	444
HRK	445
XKR4	446
ISG20	447
HSFX2	448
TRPV3	449
ALPK3	450
SFRP1	451
ITGAV	452
RAB43P1	453
USH2A	454
GAPDHP42	455
MYT1	456
NME2P1	457
USP2	458
RBM24	459
TMEM182	460
RGS16	461
FAM19A5	462
SLC13A3	463
LMX1A	464
FRMPD1	465
KLHDC7B	466
NUAK2	467
C1orf110	468
PRND	469
PPAPDC1A	470
SKP2	471
DHX16	472
FAM196A	473
ADAM18	474
SLC24A2	475
SLC39A14	476
KCNK1	477
ASB4	478
RIMBP3	479
COL5A2	480
PPFIA2	481
B3GNT5	482
RANBP3L	483
CLDN1	484
RGMB	485
