geneName	hES_rank
SEMG1	1
ZDHHC22	2
IDO1	3
LECT1	4
PRDM14	5
ZSCAN10	6
ALPPL2	7
POU5F1	8
C1orf94	9
NANOGP8	10
KCNG3	11
HMX2	12
DAZL	13
HTR1A	14
LRAT	15
DNMT3B	16
POLR3G	17
HLA-DPB2	18
CHST4	19
MAGEA4	20
NANOG	21
DPEP3	22
HTR7	23
L1TD1	24
GABRA1	25
TERF1	26
USP44	27
GRID2	28
TRIML2	29
TNFSF11	30
NKX1-2	31
VRTN	32
ZFP42	33
KLHDC7A	34
TMEM132B	35
TCL1B	36
C9orf135	37
NANOGP2	38
CRYGEP	39
GABRA5	40
FAM19A4	41
ANKRD18CP	42
HTR3A	43
DPPA2	44
LHFPL4	45
DPPA4	46
FOXD3	47
PHC1P1	48
PHC1	49
GOLGA6A	50
NLGN4X	51
SCG3	52
C21orf88	53
KLRG2	54
BEND4	55
BRINP1	56
UNC5D	57
TACR3	58
CHRNA9	59
HAS3	60
UGT3A2	61
SYT2	62
CALN1	63
CPNE9	64
GLB1L3	65
FGF19	66
GPR176	67
FAM220CP	68
GABRB3	69
AASS	70
SYT6	71
UNC13A	72
CHST8	73
VASH2	74
TMEM151B	75
WRBP1	76
GRM4	77
TDGF1	78
PDYN	79
PLA2G3	80
SLC7A3	81
GYLTL1B	82
EPHA1	83
ANKRD34B	84
CAPN11	85
LCK	86
PROKR1	87
GABRQ	88
HLA-DOA	89
ARTN	90
GNAQP1	91
KDR	92
B3GNT7	93
KCND2	94
GRIA4	95
TERT	96
UGT8	97
SNCB	98
SYNDIG1L	99
CAMKV	100
AHSP	101
MT1H	102
GLDCP1	103
IGSF1	104
KALP	105
ACOXL	106
ZNF732	107
CXCL5	108
FAM86GP	109
THY1	110
CCL26	111
TRIM71	112
TMEM132D	113
MEGF10	114
ZNF860	115
OPRD1	116
ZMAT4	117
CLDN10	118
TNFRSF8	119
SEPHS1	120
PNPLA5	121
SYT3	122
HIST1H4F	123
SMPDL3B	124
KAL1	125
HCN1	126
HPDL	127
LRFN2	128
FOXH1	129
MGAT4C	130
ADD2	131
GUCA1A	132
NFE2L3	133
VWDE	134
ADAMTS8	135
RIMS4	136
PYDC1	137
PODXL	138
C12orf56	139
PPAP2C	140
ZNF878	141
KCTD8	142
HIST1H1T	143
ZIC5	144
ARC	145
GDPD2	146
GABRG1	147
OR7E12P	148
CRYBB1	149
FABP6	150
RAB39A	151
HIST1H1D	152
SYT14	153
ERVMER34-1	154
ACTL8	155
HRH3	156
SYN3	157
P2RY1	158
NUTM1	159
SLC24A2	160
EPHA8	161
VSNL1	162
SCN4A	163
OGDHL	164
CD24	165
HLA-G	166
CLC	167
STXBP5L	168
PIPOX	169
XKR7	170
NPTX1	171
IGSF5	172
B3GALT5	173
TMEM26	174
HES3	175
HS3ST5	176
PMEL	177
GLP1R	178
RSU1P3	179
GJC3	180
RAB19	181
