species	HGNC	UniProtKB	gene	ID
HUMAN	14106	Q9HCU8	DNA polymerase delta subunit 4	POLD4
HUMAN	17351	Q99633	Pre-mRNA-splicing factor 18	PRPF18
HUMAN	13917	Q13838	Spliceosome RNA helicase DDX39B	DDX39B
HUMAN	18559	Q9H5Q4	"Dimethyladenosine transferase 2, mitochondrial"	TFB2M
HUMAN	7136	P42568	Protein AF-9	MLLT3
HUMAN	9956	Q01201	Transcription factor RelB	RELB
HUMAN	4071	Q06546	GA-binding protein alpha chain	GABPA
HUMAN	24704	Q659C4	La-related protein 1B	LARP1B
HUMAN	12978	Q16670	Zinc finger and SCAN domain-containing protein 26	ZSCAN26
HUMAN	29683	Q9H2D1	Mitochondrial folate transporter/carrier	SLC25A32
HUMAN	2361	P52943	Cysteine-rich protein 2	CRIP2
HUMAN	9820	O43502	DNA repair protein RAD51 homolog 3	RAD51C
HUMAN	18334	Q6B0B8	Tigger transposable element-derived protein 3	TIGD3
HUMAN	11869	Q9UHN6	Transmembrane protein 2	TMEM2
HUMAN	6990	P51608	Methyl-CpG-binding protein 2	MECP2
HUMAN	23463	Q5VTM2	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 9"	AGAP9
HUMAN	9969	P35251	Replication factor C subunit 1	RFC1
HUMAN	23020	Q8WU68	Splicing factor U2AF 26 kDa subunit	U2AF1L4
HUMAN	9173	P09884	DNA polymerase alpha catalytic subunit	POLA1
HUMAN	1553	Q13185	Chromobox protein homolog 3	CBX3
HUMAN	24273	Q96FB5	Protein RRNAD1	RRNAD1
HUMAN	14495	Q9Y399	"28S ribosomal protein S2, mitochondrial"	MRPS2
HUMAN	16705	Q5XG87	Non-canonical poly(A) RNA polymerase PAPD7	PAPD7
HUMAN	20327	Q5T8P6	RNA-binding protein 26	RBM26
HUMAN	11598	Q9UMR3	T-box transcription factor TBX20	TBX20
HUMAN	11242	Q01892	Transcription factor Spi-B	SPIB
HUMAN	21746	Q8NE35	Cytoplasmic polyadenylation element-binding protein 3	CPEB3
HUMAN	10409	P63220	40S ribosomal protein S21	RPS21
HUMAN	21051	Q9UGC7	"Peptide chain release factor 1-like, mitochondrial"	MTRF1L
HUMAN	29537	Q99687	Homeobox protein Meis3	MEIS3
HUMAN	30778	Q8WXI9	Transcriptional repressor p66-beta	GATAD2B
HUMAN	23191	Q8NA92	THAP domain-containing protein 8	THAP8
HUMAN	28990	Q92618	Zinc finger protein 516	ZNF516
HUMAN	5041	P31943	Heterogeneous nuclear ribonucleoprotein H	HNRNPH1
HUMAN	5175	P52594	Arf-GAP domain and FG repeat-containing protein 1	AGFG1
HUMAN	23762	Q8WXT5	Forkhead box protein D4-like 4	FOXD4L4
HUMAN	962	Q9UIF9	Bromodomain adjacent to zinc finger domain protein 2A	BAZ2A
HUMAN	20837	Q6QHF9	Peroxisomal N(1)-acetyl-spermine/spermidine oxidase	PAOX
HUMAN	28417	Q9BTE6	Alanyl-tRNA editing protein Aarsd1	AARSD1
HUMAN	11633	P15923	Transcription factor E2-alpha	TCF3
HUMAN	33519	P0C7M4	Rhox homeobox family member 2B	RHOXF2B
HUMAN	4877	Q9UBX0	Homeobox expressed in ES cells 1	HESX1
HUMAN	5130	P31274	Homeobox protein Hox-C9	HOXC9
HUMAN	3803	O60548	Forkhead box protein D2	FOXD2
HUMAN	6106	Q9BZS1	Forkhead box protein P3	FOXP3
HUMAN	18684	Q9Y6V7	Probable ATP-dependent RNA helicase DDX49	DDX49
HUMAN	2685	Q92904	Deleted in azoospermia-like	DAZL
HUMAN	9138	Q01780	Exosome component 10	EXOSC10
HUMAN	31953	A8MZ59	Leucine-twenty homeobox	LEUTX
HUMAN	31839	A8MTQ0	Homeobox protein notochord	NOTO
HUMAN	17062	Q5JVS0	Intracellular hyaluronan-binding protein 4	HABP4
HUMAN	12420	P49411	"Elongation factor Tu, mitochondrial"	TUFM
HUMAN	5107	P31267	Homeobox protein Hox-A6	HOXA6
HUMAN	9142	P54821	Paired mesoderm homeobox protein 1	PRRX1
HUMAN	19072	Q96J01	THO complex subunit 3	THOC3
HUMAN	24726	Q8N3J2	Methyltransferase-like protein 4	METTL4
HUMAN	16672	P50579	Methionine aminopeptidase 2	METAP2
HUMAN	11208	Q02447	Transcription factor Sp3	SP3
HUMAN	1317	P16383	GC-rich sequence DNA-binding factor 2	GCFC2
HUMAN	10260	P51449	Nuclear receptor ROR-gamma	RORC
HUMAN	8090	Q15646	2'-5'-oligoadenylate synthase-like protein	OASL
HUMAN	7556	P12525	Putative myc-like protein MYCLP1	MYCLP1
HUMAN	29271	Q9P2E3	NFX1-type zinc finger-containing protein 1	ZNFX1
HUMAN	15905	Q9Y468	Lethal(3)malignant brain tumor-like protein 1	L3MBTL1
HUMAN	12767	Q9BZ95	Histone-lysine N-methyltransferase NSD3	WHSC1L1
HUMAN	11728	P54274	Telomeric repeat-binding factor 1	TERF1
HUMAN	11776	Q15583	Homeobox protein TGIF1	TGIF1
HUMAN	2915	Q07687	Homeobox protein DLX-2	DLX2
HUMAN	24311	Q6XD76	Achaete-scute homolog 4	ASCL4
HUMAN	1911	Q13112	Chromatin assembly factor 1 subunit B	CHAF1B
HUMAN	16715	Q9H8H2	Probable ATP-dependent RNA helicase DDX31	DDX31
HUMAN	17697	Q9NP81	"Serine--tRNA ligase, mitochondrial"	SARS2
HUMAN	7329	P52701	DNA mismatch repair protein Msh6	MSH6
HUMAN	24582	Q5VXD3	Sterile alpha motif domain-containing protein 13	SAMD13
HUMAN	26556	Q8N4P6	Leucine-rich repeat-containing protein 71	LRRC71
HUMAN	14378	Q9NPE3	H/ACA ribonucleoprotein complex subunit 3	NOP10
HUMAN	17024	Q9UIL8	PHD finger protein 11	PHF11
HUMAN	11299	P37108	Signal recognition particle 14 kDa protein	SRP14
HUMAN	10360	P46777	60S ribosomal protein L5	RPL5
HUMAN	14052	P49406	"39S ribosomal protein L19, mitochondrial"	MRPL19
HUMAN	ENSG00000178636	H0Y8J9	Protein LOC101929762 (Fragment)	LOC101929762
HUMAN	4910	Q16665	Hypoxia-inducible factor 1-alpha	HIF1A
HUMAN	8910	P06401	Progesterone receptor	PGR
HUMAN	13013	Q92794	Histone acetyltransferase KAT6A	KAT6A
HUMAN	5109	P31269	Homeobox protein Hox-A9	HOXA9
HUMAN	3259	Q9NR50	Translation initiation factor eIF-2B subunit gamma	EIF2B3
HUMAN	10384	P62280	40S ribosomal protein S11	RPS11
